phantom_size,density,insert_sizes,ground_truth_mass_hd,predicted_mass_hd,ground_truth_mass_md,predicted_mass_md,ground_truth_mass_ld,predicted_mass_ld
Small,Density1,Large,129.53179209832416,129.35893597366115,72.62969516017904,72.57411410103502,26.683902601428304,27.44984406144065
Small,Density1,Medium,46.63144515539669,46.972691561927874,26.146690257664453,24.41451824729652,9.606204936514189,10.58153690293663
Small,Density1,Small,5.181271683932966,5.242194303030281,2.9051878064071612,2.381583564004648,1.0673561040571322,0.7099428324292142
Small,Density2,Large,118.22205854540091,118.99563787346722,65.38439710283757,66.23579698819549,15.904312808798327,17.03534586499915
Small,Density2,Medium,42.55994107634432,42.64833382873346,23.538382957021525,23.08112118763164,5.725552611167398,6.640707254342459
Small,Density2,Small,4.728882341816036,4.651622425294632,2.615375884113503,2.341611292396385,0.6361725123519331,0.04134395441638293
Small,Density3,Large,97.54645189396308,98.28498209961401,39.23063826170254,40.49394310272339,9.189158511750145,10.58910016283943
Small,Density3,Medium,35.11672268182671,35.18844401563984,14.123029774212917,11.828232490312969,3.3080970642300525,1.6536127900403683
Small,Density3,Small,3.901858075758523,4.706673672779916,1.5692255304681018,1.9902168861834038,0.3675663404700058,0.02214396275521153
Medium,Density1,Large,129.53179209832416,127.72638688394419,72.62969516017904,72.56614170271469,26.683902601428304,26.546318213663593
Medium,Density1,Medium,46.63144515539669,46.41471619468168,26.146690257664453,26.316848957825485,9.606204936514189,10.407329823161094
Medium,Density1,Small,5.181271683932966,6.485307161495002,2.9051878064071612,3.3963461994553987,1.0673561040571322,1.8863022122501802
Medium,Density2,Large,118.22205854540091,116.22131208818799,65.38439710283757,64.0470686093053,15.904312808798327,16.660715425283374
Medium,Density2,Medium,42.55994107634432,40.644062310521456,23.538382957021525,22.06231638051611,5.725552611167398,6.223900759660352
Medium,Density2,Small,4.728882341816036,5.148555751708939,2.615375884113503,1.3788172143370812,0.6361725123519331,-0.7516799841356259
Medium,Density3,Large,97.54645189396308,96.80018546089607,39.23063826170254,38.50015382461258,9.189158511750145,10.185228424655987
Medium,Density3,Medium,35.11672268182671,34.64183346694806,14.123029774212917,13.34955462629367,3.3080970642300525,0.5227741417462451
Medium,Density3,Small,3.901858075758523,3.6464539144468016,1.5692255304681018,0.8452794471112403,0.3675663404700058,1.0415596049368165
Large,Density1,Large,129.53179209832416,115.6295891424986,72.62969516017904,70.2649022102969,26.683902601428304,27.53125752675917
Large,Density1,Medium,46.63144515539669,45.30995708382803,26.146690257664453,25.3059823424722,9.606204936514189,10.149736070803264
Large,Density1,Small,5.181271683932966,6.380226354696628,2.9051878064071612,3.7295958458361085,1.0673561040571322,1.1474006899289477
Large,Density2,Large,118.22205854540091,114.37151977204299,65.38439710283757,62.5736251850542,15.904312808798327,15.127810565704959
Large,Density2,Medium,42.55994107634432,40.55002690212568,23.538382957021525,23.3778271010337,5.725552611167398,6.171630224612523
Large,Density2,Small,4.728882341816036,5.033552837090133,2.615375884113503,2.4514683400997352,0.6361725123519331,-0.22653524140311865
Large,Density3,Large,97.54645189396308,91.59243041928997,39.23063826170254,37.075933456943226,9.189158511750145,11.21521400874272
Large,Density3,Medium,35.11672268182671,34.71848968780662,14.123029774212917,13.446911177772765,3.3080970642300525,3.034025296407582
Large,Density3,Small,3.901858075758523,4.616269214351759,1.5692255304681018,1.086188276985482,0.3675663404700058,-1.0220141883387348
Small1,Density1,Large,140.84152565124742,141.90838754754284,17.848173263207013,18.832436247764182,6.538439710283757,7.587134377902062
Small1,Density1,Medium,50.702949234449065,51.50631914893392,6.425342374754525,6.833987464502687,2.353838295702152,3.0621973023526956
Small1,Density1,Small,5.6336610260498965,5.579308029593336,0.7139269305282805,1.0552968276199475,0.2615375884113503,0.22831231281894662
Small1,Density2,Large,71.21597846606362,72.59532719501794,8.482300164692441,8.85320864247634,5.654866776461628,6.574193356590289
Small1,Density2,Medium,25.637752247782906,25.16860579642947,3.053628059289279,2.7965028598237494,2.035752039526186,2.7514695722035154
Small1,Density2,Small,2.848639138642545,0.0791041041034541,0.33929200658769765,-1.4202209155353303,0.2261946710584651,-1.3051987504174674
Small1,Density3,Large,35.16620276612075,35.966334533608126,7.24529805734146,8.167718725206571,4.771293842639499,5.605297045559433
Small1,Density3,Medium,12.65983299580347,13.422147018083358,2.6083073006429256,2.8127830440435466,1.7176657833502196,1.8743738985066558
Small1,Density3,Small,1.4066481106448299,1.935867084421551,0.28981192229365843,-0.17497079107179336,0.19085175370557994,-0.839581100565331
Medium1,Density1,Large,140.84152565124742,137.9322830614795,17.848173263207013,18.012596568080095,6.538439710283757,7.433847421634602
Medium1,Density1,Medium,50.702949234449065,50.30275627397478,6.425342374754525,3.2610676396681066,2.353838295702152,-0.5658618188455972
Medium1,Density1,Small,5.6336610260498965,6.58076561416501,0.7139269305282805,0.20910305449649455,0.2615375884113503,0.3665074683955299
Medium1,Density2,Large,71.21597846606362,69.97360639424888,8.482300164692441,9.242105550464766,5.654866776461628,4.347572261328458
Medium1,Density2,Medium,25.637752247782906,25.3955580273265,3.053628059289279,2.813979920885805,2.035752039526186,-0.29491625270591204
Medium1,Density2,Small,2.848639138642545,3.37159754826365,0.33929200658769765,0.8280348254293526,0.2261946710584651,-0.2620121523560279
Medium1,Density3,Large,35.16620276612075,36.842243671418935,7.24529805734146,4.6922204015553906,4.771293842639499,7.0535044757149885
Medium1,Density3,Medium,12.65983299580347,13.378765347539858,2.6083073006429256,3.0450439200270885,1.7176657833502196,2.3054441046895056
Medium1,Density3,Small,1.4066481106448299,1.8177626886287328,0.28981192229365843,0.5526101393390797,0.19085175370557994,0.4388528760830151
Large1,Density1,Large,140.84152565124742,125.0283474968843,17.848173263207013,18.78468739478695,6.538439710283757,7.97305122937264
Large1,Density1,Medium,50.702949234449065,46.716455634014864,6.425342374754525,7.577172699598903,2.353838295702152,2.7987862308141698
Large1,Density1,Small,5.6336610260498965,6.276540659029536,0.7139269305282805,1.079075047946217,0.2615375884113503,0.46953887488613183
Large1,Density2,Large,71.21597846606362,68.39977943211524,8.482300164692441,10.262890366039247,5.654866776461628,6.135518888516792
Large1,Density2,Medium,25.637752247782906,25.546143550519574,3.053628059289279,3.4371705590611135,2.035752039526186,2.6788513488912864
Large1,Density2,Small,2.848639138642545,3.3962342518324733,0.33929200658769765,0.6375667885251965,0.2261946710584651,-5.407310703366941
Large1,Density3,Large,35.16620276612075,33.74999999404874,7.24529805734146,8.113126566419755,4.771293842639499,5.550381195325049
Large1,Density3,Medium,12.65983299580347,12.0862257144707,2.6083073006429256,3.2578780072484355,1.7176657833502196,3.6497499742744455
Large1,Density3,Small,1.4066481106448299,0.4649572934677193,0.28981192229365843,0.9030421462513831,0.19085175370557994,0.2792298976246554
